frag.id,days,time.point,notes,light.level,genotype,big.tank,tank,Dry.Weigh.g,propD,dom,mix,mortality
101,31,T1,,High Shade,873,13,3,4.580394872261914,NA,C,NA,0
102,0,T0,NA,Natural,873,16,9,3.7106771222260533,0,C,C,0
102,31,T1,,Natural,873,16,9,3.8099507807662545,NA,C,NA,0
102,60,T2,NA,Natural,873,16,9,4.020088877564682,0,C,C,0
103,0,T0,NA,Low Shade,873,17,14,2.61678466467382,0,C,C,0
103,31,T1,,Low Shade,873,17,14,2.6208201934302866,NA,C,NA,0
103,60,T2,NA,Low Shade,873,17,14,2.6408950162938907,NA,C,NA,0
104,60,T2,NA,Medium Shade,873,14,8,4.084807021534983,0,C,C,0
104,0,T0,NA,Medium Shade,873,14,8,4.070603099176448,0,C,C,0
104,31,T1,,Medium Shade,873,14,8,4.085004737433904,NA,C,NA,NA
105,31,T1,,Low Shade,881,14,6,4.477305206017483,NA,C,NA,0
105,60,T2,NA,Low Shade,881,14,6,4.515523562758104,0,C,C,0
105,0,T0,NA,Low Shade,881,14,6,4.462864873386173,0,C,C,0
106,0,T0,NA,Medium Shade,881,16,11,1.7451067191067735,0,C,C,5
106,60,T2,NA,Medium Shade,881,16,11,1.7532378643753566,NA,C,NA,0
106,31,T1,,Medium Shade,881,16,11,1.743202180864131,NA,C,NA,0
107,31,T1,,Natural,881,13,1,2.954474277437645,NA,C,NA,0
107,0,T0,NA,Natural,881,13,1,2.8815898896303884,0,C,C,0
107,60,T2,NA,Natural,881,13,1,3.251692526190088,0,C,C,0
108,60,T2,NA,High Shade,881,17,16,1.3689916045682715,NA,C,NA,45
108,31,T1,,High Shade,881,17,16,1.3528873184546055,NA,C,NA,5
108,0,T0,NA,High Shade,881,17,16,1.3811389485460202,0.00330757249082724,C,CD,0
109,31,T1,,Natural,868,14,5,5.395386705746437,NA,D,NA,10
110,0,T0,NA,Low Shade,868,13,2,3.3851071154019947,NA,D,NA,0
110,31,T1,,Low Shade,868,13,2,3.4762238547276074,NA,D,NA,0
111,31,T1,,Medium Shade,868,16,11,4.766437685085578,NA,D,NA,0
112,0,T0,NA,High Shade,868,17,16,2.6611734760535435,0.5801811383236819,D,DC,0
112,60,T2,NA,High Shade,868,17,16,2.665191222074255,NA,D,NA,0
112,31,T1,,High Shade,868,17,16,2.667348103606714,NA,D,NA,0
113,0,T0,NA,Natural,875,17,13,4.558061331451902,0,C,C,0
113,60,T2,NA,Natural,875,17,13,5.623735385578624,0,C,C,0
113,31,T1,,Natural,875,17,13,4.893787438029197,NA,C,NA,0
114,31,T1,,Low Shade,875,14,6,1.3872749717975514,NA,C,NA,0
114,60,T2,NA,Low Shade,875,14,6,1.413502756293386,0,C,C,0
114,0,T0,NA,Low Shade,875,14,6,1.3831586474452315,0,C,C,0
115,0,T0,NA,Medium Shade,875,13,4,7.02500046824468,0,C,C,0
115,31,T1,,Medium Shade,875,13,4,7.130419251478562,NA,C,NA,0
115,60,T2,NA,Medium Shade,875,13,4,7.144332636198535,0,C,C,0
116,60,T2,NA,High Shade,875,16,12,4.086844366030465,0,C,C,0
116,31,T1,,High Shade,875,16,12,4.072868021183296,NA,C,NA,0
116,0,T0,NA,High Shade,875,16,12,4.030265201941499,NA,C,NA,0
117,0,T0,NA,Natural,866,17,13,3.856401455628693,0,C,C,0
117,60,T2,NA,Natural,866,17,13,4.382101934628731,0,C,C,0
117,31,T1,,Natural,866,17,13,4.06668516426328,NA,C,NA,0
118,60,T2,NA,Low Shade,866,13,2,1.0272775313125158,0,C,C,0
118,0,T0,NA,Low Shade,866,13,2,0.9928817138641897,0,C,C,0
118,31,T1,,Low Shade,866,13,2,1.0192044907625024,NA,C,NA,0
120,60,T2,NA,Medium Shade,866,13,4,2.1030616143173058,0,C,C,0
120,31,T1,,Medium Shade,866,13,4,2.097061763664964,NA,C,NA,0
120,0,T0,NA,Medium Shade,866,13,4,2.0990093244531263,0,C,C,0
123,31,T1,,Natural,857,13,1,2.7239396942860687,NA,C,NA,10
123,0,T0,NA,Natural,857,13,1,2.6389460295854184,0,C,C,10
123,60,T2,NA,Natural,857,13,1,2.863433284151957,NA,C,NA,10
124,31,T1,,Natural,857,13,1,4.109163469063387,NA,C,NA,15
124,60,T2,NA,Natural,857,13,1,4.549941146787575,0,C,C,15
124,0,T0,NA,Natural,857,13,1,3.9472664241590834,0,C,C,20
126,31,T1,,Natural,863,13,1,4.626961074154287,NA,C,NA,0
126,0,T0,NA,Natural,863,13,1,4.5904923038952665,0,C,C,5
126,60,T2,NA,Natural,863,13,1,4.691458703895992,0,C,C,20
127,60,T2,NA,Low Shade,863,16,10,3.241552491131469,0,C,C,0
127,31,T1,,Low Shade,863,16,10,3.18912106994664,NA,C,NA,0
127,0,T0,NA,Low Shade,863,16,10,3.1626337902037394,0,C,C,5
128,31,T1,,Medium Shade,863,17,15,4.190093778875419,NA,C,NA,0
128,0,T0,NA,Medium Shade,863,17,15,4.171888240960726,0,C,C,0
128,60,T2,NA,Medium Shade,863,17,15,4.2181702731462085,0,C,C,0
129,31,T1,,High Shade,863,14,7,1.9332406252245253,NA,C,NA,NA
129,60,T2,NA,High Shade,863,14,7,1.9412987757140754,0,C,C,0
129,0,T0,NA,High Shade,863,14,7,1.9291994410472963,NA,C,NA,0
130,60,T2,NA,Natural,859,17,13,2.897810661150957,0,C,C,0
130,31,T1,,Natural,859,17,13,2.7886447110066204,NA,C,NA,0
130,0,T0,NA,Natural,859,17,13,2.7299708038632993,0,C,C,0
131,0,T0,NA,Low Shade,859,14,6,7.995856069752417,0,C,C,0
131,60,T2,NA,Low Shade,859,14,6,8.074549130764515,0,C,C,0
131,31,T1,,Low Shade,859,14,6,8.022319730054077,NA,C,NA,0
132,60,T2,NA,Medium Shade,859,13,4,4.5761829499484445,0,C,C,20
132,0,T0,NA,Medium Shade,859,13,4,4.5459005873714124,0,C,C,10
132,31,T1,,Medium Shade,859,13,4,4.546005578070536,NA,C,NA,5
133,60,T2,NA,High Shade,859,16,12,6.877466782610464,0,C,C,0
133,0,T0,NA,High Shade,859,16,12,6.863342869229155,0,C,C,0
133,31,T1,,High Shade,859,16,12,6.867662421603947,NA,C,NA,0
134,31,T1,,Natural,878,16,9,3.534925975252938,NA,D,NA,0
134,60,T2,NA,Natural,878,16,9,3.589363858502333,0.8559120088418236,D,DC,0
135,60,T2,NA,Low Shade,878,13,2,1.724937315674157,NA,D,NA,80
135,31,T1,,Low Shade,878,13,2,1.7269885476221056,NA,D,NA,45
136,0,T0,NA,Medium Shade,878,14,8,1.0333545842328187,0.9560734673519744,D,DC,35
136,31,T1,,Medium Shade,878,14,8,1.043494677406471,NA,D,NA,45
136,60,T2,NA,Medium Shade,878,14,8,1.0394012654171954,NA,D,NA,55
137,31,T1,50% dead 50% pale,High Shade,878,17,16,2.303347380669073,NA,D,NA,40
