frag.id,days,time.point,notes,light.level,genotype,big.tank,tank,Dry.Weigh.g,propD,dom,mortality,mort.bin,dli
221,60,T2,NA,Natural,888,14,5,4.45282746,NA,C,0,1,3.470265788
222,60,T2,NA,Natural,903,17,13,6.988702194,0,C,0,1,3.470265788
223,60,T2,NA,Low Shade,903,14,6,4.012000844,0,C,0,1,1.420391927
224,60,T2,NA,Medium Shade,903,13,4,5.825885387,NA,C,0,1,0.673574649
225,60,T2,NA,High Shade,903,16,12,2.483248333,NA,C,0,1,0.330656405
229,60,T2,NA,High Shade,902,14,7,3.540861216,0,C,0,1,0.330656405
230,60,T2,NA,Natural,891,13,1,2.632901307,0,C,0,1,3.470265788
232,60,T2,NA,High Shade,891,14,7,5.120179222,0,C,0,1,0.330656405
233,60,T2,NA,Medium Shade,891,17,15,4.228271257,0,C,0,1,0.673574649
234,60,T2,NA,High Shade,855,17,16,12.9622365,0,C,15,1,0.330656405
235,60,T2,NA,Medium Shade,855,16,11,2.968557434,0,C,NA,,0.673574649
236,60,T2,NA,Low Shade,855,13,2,5.552958555,0,C,10,1,1.420391927
237,60,T2,NA,Natural,855,14,5,10.85501484,0,C,0,1,3.470265788
238,60,T2,NA,Natural,892,13,1,6.252628426,0,C,0,1,3.470265788
240,60,T2,NA,Low Shade,892,16,10,3.803718817,0,C,0,1,1.420391927
241,60,T2,NA,Medium Shade,892,14,8,5.142405198,0,C,0,1,0.673574649
242,60,T2,NA,Natural,885,14,5,2.539847724,0,C,5,1,3.470265788
243,60,T2,NA,Low Shade,885,17,14,2.818842272,0,C,0,1,1.420391927
244,60,T2,NA,Medium Shade,885,16,11,3.795630558,0,C,0,1,0.673574649
245,60,T2,NA,High Shade,885,13,3,5.336511517,0,C,0,1,0.330656405
247,60,T2,NA,Natural,882,17,13,4.291104185,0,C,0,1,3.470265788
248,60,T2,NA,Low Shade,882,14,6,6.495236803,NA,C,0,1,1.420391927
249,60,T2,NA,Medium Shade,882,13,4,2.651068192,0,C,10,1,0.673574649
251,60,T2,NA,Natural,865,13,1,4.584316603,0,C,0,1,3.470265788
253,60,T2,NA,Medium Shade,865,16,11,3.120221467,NA,C,0,1,0.673574649
254,60,T2,NA,High Shade,865,14,7,4.206157176,NA,C,100,4,0.330656405
256,60,T2,NA,Natural,901,16,9,3.686428079,0,C,0,1,3.470265788
257,60,T2,NA,Low Shade,901,13,2,6.276916545,0,C,0,1,1.420391927
258,60,T2,NA,Medium Shade,901,14,8,5.374961144,0,C,0,1,0.673574649
259,60,T2,NA,High Shade,901,17,16,5.908700856,0,C,0,1,0.330656405
260,60,T2,NA,Natural,887,17,13,4.161673387,0,C,0,1,3.470265788
261,60,T2,NA,Low Shade,887,14,6,8.371822934,0,C,0,1,1.420391927
262,60,T2,NA,Medium Shade,887,13,4,3.247612689,NA,C,0,1,0.673574649
263,60,T2,NA,High Shade,887,16,12,2.562113959,0,C,0,1,0.330656405
265,60,T2,NA,High Shade,894,17,16,1.573227446,NA,C,90,4,0.330656405
268,60,T2,NA,High Shade,883,13,3,4.117147347,NA,C,0,1,0.330656405
269,60,T2,NA,Natural,883,16,9,3.860334064,0,C,0,1,3.470265788
270,60,T2,NA,Low Shade,883,17,14,3.338526309,0,C,0,1,1.420391927
271,60,T2,NA,Medium Shade,883,14,8,5.528648481,0,C,0,1,0.673574649
272,60,T2,NA,Medium Shade,869,14,8,3.840122019,0,C,30,2,0.673574649
273,60,T2,NA,High Shade,869,17,16,6.199902549,NA,C,20,1,0.330656405
274,60,T2,NA,Natural,869,16,9,8.525495221,0,C,0,1,3.470265788
275,60,T2,NA,Low Shade,869,13,2,3.864430178,0,C,5,1,1.420391927
277,60,T2,NA,Medium Shade,900,16,11,1.263861671,0,C,5,1,0.673574649
278,60,T2,NA,Low Shade,900,14,6,1.874559088,0,C,0,1,1.420391927
279,60,T2,NA,Natural,900,17,13,3.550969191,NA,C,0,1,3.470265788
280,60,T2,NA,Natural,853,13,1,4.94790017,0,C,0,1,3.470265788
283,60,T2,NA,High Shade,858,16,12,1.854347448,0,C,0,1,0.330656405
288,60,T2,NA,Medium Shade,853,17,15,6.177608901,0,C,0,1,0.673574649
